,0,LPS,chitin,elf,flg,nlp,OGs,pep
0,AT1G01130,0,0,0,0,0,1,0
1,AT1G01560,0,0,1,1,0,1,0
2,AT1G02310,0,0,0,0,0,0,1
3,AT1G02390,0,0,0,0,0,1,0
4,AT1G02400,0,0,0,0,0,1,0
5,AT1G02810,0,0,0,0,0,1,1
6,AT1G03730,0,0,0,0,0,1,0
7,AT1G04490,0,0,0,0,0,1,0
8,AT1G05340,0,0,0,0,0,1,0
9,AT1G05575,0,1,1,1,1,1,1
10,AT1G05675,0,1,1,1,1,1,0
11,AT1G07000,0,0,1,0,0,1,0
12,AT1G07135,1,1,1,1,1,1,1
13,AT1G07150,0,0,0,0,0,1,0
14,AT1G07160,1,1,1,1,1,1,1
15,AT1G07520,0,0,0,0,0,1,0
16,AT1G09070,0,0,1,1,0,1,0
17,AT1G09950,0,0,1,1,0,1,0
18,AT1G10340,0,0,1,1,0,1,0
19,AT1G10560,0,0,0,0,0,1,1
20,AT1G11050,0,0,1,1,0,1,1
21,AT1G11210,0,0,0,0,0,1,0
22,AT1G13340,0,0,1,1,0,1,0
23,AT1G13520,0,0,0,0,0,1,1
24,AT1G13530,0,0,0,0,0,1,0
25,AT1G14370,0,0,0,0,0,1,0
26,AT1G14540,0,0,1,0,0,1,0
27,AT1G14870,0,0,0,0,0,1,0
28,AT1G15010,0,0,1,1,0,1,0
29,AT1G15430,0,0,1,0,0,1,0
30,AT1G16110,0,0,1,1,0,1,0
31,AT1G16120,0,0,1,0,0,0,0
32,AT1G16130,0,0,1,1,0,1,1
33,AT1G17147,0,0,1,1,1,1,1
34,AT1G17380,0,0,1,0,0,1,0
35,AT1G17420,0,0,1,1,0,1,0
36,AT1G17610,0,0,0,0,0,1,0
37,AT1G18290,0,0,0,0,0,1,0
38,AT1G18300,0,0,1,1,1,1,1
39,AT1G18570,0,0,1,1,0,1,1
40,AT1G18740,0,0,1,1,0,1,0
41,AT1G19020,0,1,1,1,0,1,1
42,AT1G19180,0,0,1,1,0,1,1
43,AT1G19210,0,0,1,1,0,1,1
44,AT1G19320,0,0,0,0,0,0,1
45,AT1G19380,0,0,1,1,0,1,0
46,AT1G19770,0,0,1,1,0,1,1
47,AT1G20310,0,1,1,1,1,1,1
48,AT1G20350,0,0,1,0,0,0,0
49,AT1G20510,0,0,1,0,0,1,0
50,AT1G20823,0,1,1,1,0,1,1
51,AT1G21010,0,0,1,1,0,1,1
52,AT1G21100,0,0,0,0,0,0,1
53,AT1G21110,0,0,0,0,0,1,1
54,AT1G21120,0,0,1,0,0,1,1
55,AT1G21230,0,0,0,0,0,1,1
56,AT1G21326,0,1,1,1,0,1,1
57,AT1G21550,0,0,0,1,0,0,0
58,AT1G21910,0,0,1,1,0,1,0
59,AT1G22190,0,0,1,0,0,1,0
60,AT1G22470,0,0,0,0,0,1,0
61,AT1G22810,0,0,1,1,0,1,1
62,AT1G23710,0,1,1,1,1,1,1
63,AT1G23830,0,0,0,0,0,0,1
64,AT1G24145,0,0,1,1,0,1,0
65,AT1G24147,0,0,1,0,0,0,0
66,AT1G25400,0,0,1,1,0,1,1
67,AT1G27100,0,0,1,1,0,1,1
68,AT1G27730,1,1,1,1,1,1,1
69,AT1G28190,0,0,1,0,0,0,0
70,AT1G28370,0,0,1,1,0,1,1
71,AT1G28380,0,0,0,0,0,1,0
72,AT1G28480,0,0,0,0,0,0,1
73,AT1G29290,0,0,1,0,0,1,0
74,AT1G29690,0,0,0,0,0,1,0
75,AT1G30190,0,0,1,1,1,1,1
76,AT1G30370,0,0,1,1,0,1,1
77,AT1G30700,0,0,1,0,0,1,0
78,AT1G30730,0,0,0,0,0,1,1
79,AT1G32640,0,0,1,1,0,1,1
80,AT1G32920,0,1,1,1,0,1,1
81,AT1G32928,0,1,1,1,0,1,1
82,AT1G33610,0,0,1,0,0,1,0
83,AT1G33760,0,1,1,1,0,1,1
84,AT1G35140,0,0,1,1,0,1,0
85,AT1G35210,0,1,1,1,1,1,1
86,AT1G36622,0,0,1,1,0,1,0
87,AT1G36640,0,0,0,0,0,1,1
88,AT1G42980,0,0,1,1,0,1,1
89,AT1G42990,0,0,0,0,0,1,0
90,AT1G45015,0,0,0,0,0,0,1
91,AT1G47890,0,0,1,0,0,0,0
92,AT1G49000,0,0,1,0,0,0,0
93,AT1G50740,0,0,0,0,0,1,0
94,AT1G50750,0,0,1,1,0,1,1
95,AT1G51090,0,0,0,0,0,1,0
96,AT1G51700,0,1,1,1,0,1,1
97,AT1G51915,0,0,0,0,0,1,0
98,AT1G51920,0,0,0,0,0,1,0
99,AT1G52890,0,0,1,0,0,0,0
100,AT1G53080,0,0,1,0,0,0,0
101,AT1G53620,0,0,0,0,0,1,0
102,AT1G53625,0,0,1,1,0,1,0
103,AT1G55450,0,0,1,1,0,1,1
104,AT1G56060,0,0,1,1,0,1,0
105,AT1G56150,0,0,1,1,0,1,0
106,AT1G56240,0,1,1,1,0,1,1
107,AT1G56250,0,1,1,0,0,1,1
108,AT1G56660,0,0,0,0,0,1,0
109,AT1G57990,0,1,1,1,0,1,1
110,AT1G58410,0,0,0,0,0,1,0
111,AT1G58420,0,1,1,1,1,1,1
112,AT1G59590,0,1,1,1,0,1,1
113,AT1G59910,0,0,0,0,0,1,0
114,AT1G61290,0,0,0,0,0,1,0
115,AT1G61340,0,1,1,1,1,1,1
116,AT1G61470,0,0,1,1,0,1,1
117,AT1G63245,0,0,0,0,0,1,1
118,AT1G63720,0,0,1,0,0,1,1
119,AT1G63820,0,0,0,0,0,1,0
120,AT1G64065,0,0,1,1,0,1,1
121,AT1G64380,0,0,0,1,0,1,0
122,AT1G64610,0,0,0,0,0,1,0
123,AT1G65385,0,0,1,0,0,0,1
124,AT1G65390,0,0,1,1,0,1,1
125,AT1G65510,0,0,1,0,0,1,0
126,AT1G66090,0,1,1,1,0,1,1
127,AT1G66160,0,0,1,1,0,1,1
128,AT1G66170,0,0,0,1,0,1,0
129,AT1G66173,0,0,0,0,0,1,0
130,AT1G66400,0,1,1,1,1,1,1
131,AT1G66500,0,0,1,1,0,1,1
132,AT1G67470,0,0,1,1,0,1,1
133,AT1G67810,0,0,0,0,0,1,0
134,AT1G67880,0,0,1,0,0,1,0
135,AT1G68765,0,0,1,1,0,0,0
136,AT1G68840,0,0,1,1,0,1,1
137,AT1G69890,0,0,1,1,0,1,1
138,AT1G69900,0,0,1,1,0,1,0
139,AT1G70170,0,0,0,0,0,1,1
140,AT1G70420,0,0,1,1,0,1,1
141,AT1G70581,0,0,0,0,0,1,1
142,AT1G70740,0,0,1,0,0,1,0
143,AT1G71400,0,0,0,0,0,1,1
144,AT1G72240,0,0,0,0,0,1,0
145,AT1G72520,0,0,1,1,0,1,1
146,AT1G72900,0,0,1,1,0,1,0
147,AT1G72910,0,0,1,1,1,1,1
148,AT1G72920,1,1,1,1,1,1,1
149,AT1G72930,0,0,1,1,0,1,0
150,AT1G72940,0,0,1,1,0,1,1
151,AT1G72950,0,0,1,1,0,1,1
152,AT1G73500,0,0,1,1,0,1,0
153,AT1G73540,0,1,1,1,1,1,1
154,AT1G73550,0,0,1,1,0,1,0
155,AT1G73805,0,0,1,0,0,1,0
156,AT1G74450,0,0,1,1,0,1,0
157,AT1G74650,0,0,1,0,0,0,0
158,AT1G74930,0,0,1,1,0,1,1
159,AT1G76070,0,0,0,1,0,1,1
160,AT1G76600,0,0,1,1,1,1,1
161,AT1G76640,0,0,0,0,0,1,0
162,AT1G76650,0,0,1,1,0,1,1
163,AT1G77640,0,0,1,1,0,1,0
164,AT1G78410,0,0,1,1,0,1,1
165,AT1G79360,0,0,0,0,0,0,1
166,AT1G79680,0,0,1,1,0,1,1
167,AT1G80450,0,0,0,0,0,0,1
168,AT1G80840,0,1,1,1,1,1,1
169,AT2G01180,0,0,1,1,0,1,1
170,AT2G01300,0,0,1,0,0,1,0
171,AT2G04495,0,0,1,1,0,1,0
172,AT2G04500,0,0,0,1,0,1,1
173,AT2G04515,0,0,0,1,0,0,0
174,AT2G05050,0,0,1,1,0,1,0
175,AT2G05940,0,0,1,1,0,1,0
176,AT2G15390,0,0,1,0,0,1,0
177,AT2G16910,0,0,1,0,0,0,0
178,AT2G17040,0,0,1,1,0,1,0
179,AT2G17660,0,0,0,0,0,1,0
180,AT2G17740,0,0,1,0,0,0,0
181,AT2G18210,0,1,1,1,0,1,1
182,AT2G18690,0,0,0,0,0,1,1
183,AT2G20142,0,0,1,1,0,1,0
184,AT2G20150,0,0,1,1,0,1,0
185,AT2G20562,0,0,1,1,0,1,0
186,AT2G21900,0,0,0,0,0,1,0
187,AT2G22500,0,1,1,1,0,1,1
188,AT2G22880,0,1,1,1,1,1,1
