,cold,drought,genotoxic,heat,osmotic,salt,UVB,Wounding
At1g01030,0,0,0,0,0,0,0,1
At1g01140,0,0,0,0,1,0,0,1
At1g01240,0,0,0,1,0,0,0,0
At1g01250,1,0,0,0,0,1,0,0
At1g01260,0,0,0,0,0,0,1,1
At1g01280,0,0,0,0,0,0,1,0
At1g01340,0,0,0,0,0,0,1,0
At1g01390,1,0,0,0,0,0,1,0
At1g01420,0,0,0,0,0,0,1,1
At1g01470,0,1,0,0,1,1,0,1
At1g01480,0,0,0,0,1,0,1,0
At1g01520,0,1,0,0,1,1,1,0
At1g01560,1,1,0,0,1,0,1,1
At1g01570,0,0,0,0,1,1,0,0
At1g01650,0,0,0,0,1,0,0,1
At1g01720,0,1,0,0,1,1,0,0
At1g01830,0,0,0,1,1,1,0,0
At1g01900,0,1,0,0,0,0,0,0
At1g01930,0,0,0,1,0,0,0,0
At1g01940,0,0,0,1,0,0,0,0
At1g02050,0,0,0,0,0,0,1,0
At1g02090,0,0,0,1,0,0,0,0
At1g02100,0,0,0,1,0,0,0,0
At1g02110,0,0,1,0,0,0,0,0
At1g02170,0,0,0,0,0,0,1,0
At1g02190,0,0,0,1,0,0,0,0
At1g02200,0,0,0,0,1,0,0,0
At1g02205,0,0,0,0,1,1,0,0
At1g02270,0,0,0,0,0,0,0,1
At1g02300,0,0,0,1,0,0,0,0
At1g02340,1,0,0,0,0,0,1,0
At1g02360,0,0,0,0,1,0,1,0
At1g02370,0,0,0,1,0,0,0,0
At1g02390,0,1,0,1,1,1,0,1
At1g02400,1,1,0,0,1,0,1,1
At1g02450,0,0,0,0,0,0,1,0
At1g02470,0,0,0,0,0,0,1,0
At1g02530,0,0,0,0,0,0,1,0
At1g02640,0,0,1,0,0,0,0,0
At1g02660,1,0,0,0,1,0,0,1
At1g02670,0,0,0,0,0,0,0,1
At1g02700,0,0,0,1,0,0,0,0
At1g02800,0,0,0,0,0,0,1,0
At1g02810,0,0,0,0,0,0,0,1
At1g02860,0,0,0,1,0,0,0,1
At1g02930,0,0,0,0,1,0,1,0
At1g03020,0,0,0,0,0,1,0,0
At1g03070,0,0,0,1,0,0,0,0
At1g03080,0,0,0,0,1,1,1,0
At1g03170,0,0,0,0,0,0,1,0
At1g03180,0,0,0,1,0,0,0,0
At1g03220,0,0,0,0,1,0,0,0
At1g03290,0,0,0,0,1,1,0,0
At1g03360,0,0,0,1,0,0,0,0
At1g03370,0,1,0,0,1,0,1,1
At1g03470,0,0,0,1,0,0,0,0
At1g03495,0,1,0,0,0,0,0,0
At1g03530,0,0,0,0,0,0,1,0
At1g03660,0,0,0,0,0,0,1,0
At1g03740,0,0,0,0,0,0,1,0
At1g03760,0,0,0,1,0,0,0,0
At1g03770,0,0,0,0,0,0,1,0
At1g03820,0,0,0,1,0,0,0,0
At1g03860,0,0,0,1,0,0,0,0
At1g03905,0,0,0,0,0,0,1,0
At1g03970,0,0,0,1,0,0,0,0
At1g04000,0,0,0,1,0,0,0,0
At1g04070,0,0,0,0,0,0,1,0
At1g04130,0,0,0,1,0,0,0,0
At1g04220,0,0,0,0,1,1,0,0
At1g04310,0,0,0,0,1,0,0,0
At1g04780,0,0,0,0,1,0,1,0
At1g04810,0,0,0,1,0,0,0,0
At1g04830,0,0,0,0,1,1,0,0
At1g04920,0,0,0,1,0,1,0,0
At1g04940,0,0,0,0,0,0,1,0
At1g04980,0,0,0,1,0,0,0,0
At1g04985,0,0,0,1,0,0,0,0
At1g04990,0,0,0,0,0,1,0,0
At1g05000,0,0,0,0,0,0,0,1
At1g05020,1,0,0,0,0,0,0,1
At1g05100,0,1,0,0,1,1,0,1
At1g05170,0,1,0,1,0,1,0,0
At1g05340,0,0,0,0,1,0,0,1
At1g05385,0,0,0,1,0,0,0,0
At1g05575,0,1,0,0,1,0,1,1
At1g05670,0,0,0,0,0,0,1,0
At1g05680,0,0,0,0,0,0,1,0
At1g05860,0,0,0,1,0,0,0,0
At1g05880,0,0,0,0,0,0,1,0
At1g05920,0,0,0,1,0,0,0,0
At1g06000,0,1,0,0,0,0,1,0
At1g06050,0,0,0,0,0,0,1,0
At1g06100,0,0,0,1,0,0,0,0
At1g06160,0,0,0,0,1,0,1,0
At1g06180,0,0,0,0,0,0,1,0
At1g06380,0,0,0,0,0,0,1,0
At1g06560,0,0,0,1,0,0,0,0
At1g06620,0,1,0,0,1,0,1,1
At1g06640,0,1,0,0,0,0,0,1
At1g06780,0,0,0,0,1,0,0,0
At1g06830,0,0,0,0,0,0,1,0
At1g06840,0,0,0,0,1,0,1,0
At1g06870,0,0,0,0,0,0,1,0
At1g06980,0,0,0,0,0,0,1,0
At1g07000,0,1,0,0,1,0,1,1
At1g07050,1,0,0,0,0,0,0,0
At1g07120,0,0,0,0,0,0,1,0
At1g07130,0,0,0,0,0,0,1,0
At1g07135,0,0,0,0,0,0,1,0
At1g07150,0,0,0,0,0,0,1,0
At1g07160,0,0,0,0,1,0,0,0
At1g07190,0,0,0,0,0,0,1,0
At1g07210,0,0,0,1,0,0,0,0
At1g07220,0,0,0,0,0,0,1,0
At1g07240,0,0,0,0,0,0,1,0
At1g07250,0,0,0,0,0,0,1,0
At1g07350,0,0,0,1,0,0,0,0
At1g07410,0,0,0,1,0,0,0,0
At1g07430,0,1,0,0,1,1,1,0
At1g07500,0,1,1,1,1,0,1,1
At1g07510,0,0,0,0,0,0,1,0
