,0,LPS,chitin,elf,flg,nlp,OGs,pep
0,AT1G01010,0,0,1,1,0,1,1
1,AT1G01110,0,0,0,0,0,0,1
2,AT1G01120,0,0,1,1,1,0,1
3,AT1G01130,0,0,1,1,0,1,1
4,AT1G01140,0,0,0,0,0,1,0
5,AT1G01180,0,0,1,1,1,0,0
6,AT1G01225,0,0,1,1,0,0,0
7,AT1G01230,0,0,0,1,0,0,0
8,AT1G01260,0,1,1,1,1,1,1
9,AT1G01340,1,1,1,1,1,1,1
10,AT1G01350,0,0,0,1,0,0,0
11,AT1G01390,0,0,0,0,0,0,1
12,AT1G01440,0,0,1,1,0,1,1
13,AT1G01470,0,0,1,1,0,1,0
14,AT1G01480,1,1,1,1,1,1,1
15,AT1G01490,0,0,0,1,0,0,0
16,AT1G01550,0,0,0,1,0,0,0
17,AT1G01560,1,1,1,1,1,1,1
18,AT1G01680,0,0,0,0,0,1,0
19,AT1G01720,0,0,1,1,0,1,1
20,AT1G01730,0,0,0,1,0,0,0
21,AT1G01950,0,0,1,1,0,1,1
22,AT1G02030,0,1,1,1,0,0,1
23,AT1G02120,0,0,1,1,1,0,1
24,AT1G02170,0,0,1,1,1,1,1
25,AT1G02180,0,0,0,1,0,0,0
26,AT1G02190,0,0,0,1,0,0,0
27,AT1G02220,0,0,1,1,1,1,1
28,AT1G02230,1,0,1,1,1,1,1
29,AT1G02310,0,0,0,1,0,1,1
30,AT1G02360,1,1,1,1,1,1,1
31,AT1G02390,0,1,0,1,0,1,1
32,AT1G02400,1,1,1,1,1,1,1
33,AT1G02405,0,1,1,1,1,1,1
34,AT1G02410,0,0,0,1,0,0,0
35,AT1G02430,0,0,0,1,0,0,0
36,AT1G02440,1,1,1,1,0,0,0
37,AT1G02450,1,1,1,1,1,1,1
38,AT1G02460,0,0,0,1,0,0,1
39,AT1G02470,0,0,0,0,0,1,0
40,AT1G02500,0,0,1,1,1,0,1
41,AT1G02520,0,0,0,1,0,0,0
42,AT1G02575,1,0,0,0,0,0,1
43,AT1G02580,0,0,0,1,1,0,0
44,AT1G02610,0,0,1,1,1,0,0
45,AT1G02640,0,0,0,1,0,0,0
46,AT1G02660,1,1,1,1,1,1,1
47,AT1G02810,0,0,0,1,0,1,1
48,AT1G02816,0,0,0,1,0,0,0
49,AT1G02850,0,0,0,0,0,1,1
50,AT1G02880,0,0,1,1,1,1,1
51,AT1G02900,0,0,0,1,0,0,1
52,AT1G02920,1,1,1,1,1,1,1
53,AT1G02930,1,1,1,1,1,1,1
54,AT1G02940,1,0,1,1,1,1,1
55,AT1G02990,0,0,0,1,0,0,0
56,AT1G03020,0,0,1,1,0,0,1
57,AT1G03060,0,0,1,1,1,0,0
58,AT1G03080,0,0,0,1,1,0,0
59,AT1G03090,0,0,0,1,0,0,0
60,AT1G03170,0,0,0,1,0,0,1
61,AT1G03220,1,1,1,1,1,1,1
62,AT1G03230,1,1,1,1,1,1,1
63,AT1G03290,0,0,1,1,1,0,0
64,AT1G03350,0,0,0,1,0,0,0
65,AT1G03370,1,1,1,1,1,1,1
66,AT1G03400,0,0,1,0,0,1,1
67,AT1G03430,0,0,1,1,0,0,1
68,AT1G03590,0,0,1,1,1,0,1
69,AT1G03610,0,0,1,1,0,0,1
70,AT1G03660,0,0,0,1,1,0,0
71,AT1G03700,0,0,0,0,0,0,1
72,AT1G03730,1,1,1,1,1,1,1
73,AT1G03740,1,1,1,1,1,1,1
74,AT1G03850,0,0,1,1,1,1,1
75,AT1G03905,0,0,1,1,1,1,1
76,AT1G03950,0,0,0,1,0,0,0
77,AT1G03980,0,0,0,1,0,0,0
78,AT1G04090,0,0,0,1,0,0,0
79,AT1G04100,0,0,1,1,1,1,1
80,AT1G04120,0,0,1,1,0,0,0
81,AT1G04160,0,0,1,0,0,0,0
82,AT1G04200,0,0,1,1,0,0,0
83,AT1G04220,0,0,0,0,0,0,1
84,AT1G04280,0,0,0,1,1,0,1
85,AT1G04330,0,0,0,0,0,0,1
86,AT1G04360,0,0,1,1,1,0,1
87,AT1G04370,0,0,1,1,0,0,1
88,AT1G04380,0,0,1,1,0,0,1
89,AT1G04490,0,0,1,1,0,1,1
90,AT1G04555,0,0,1,1,0,0,0
91,AT1G04570,0,0,1,0,0,0,0
92,AT1G04600,0,0,0,1,0,0,0
93,AT1G04645,0,0,1,1,1,1,1
94,AT1G04680,0,0,0,0,0,0,1
95,AT1G04770,0,0,1,1,0,0,0
96,AT1G04780,0,0,0,1,1,0,0
97,AT1G04930,0,0,1,1,1,0,0
98,AT1G04960,0,0,0,1,0,0,0
99,AT1G04980,1,1,1,1,1,1,1
100,AT1G05000,0,0,1,1,1,0,1
101,AT1G05010,1,0,1,1,1,1,1
102,AT1G05020,0,0,1,1,1,1,1
103,AT1G05060,0,0,0,1,0,0,0
104,AT1G05100,0,0,0,1,0,0,0
105,AT1G05135,0,0,1,1,0,0,1
106,AT1G05170,0,0,1,1,1,0,1
107,AT1G05300,1,1,1,1,1,1,1
108,AT1G05340,1,1,1,1,1,1,1
109,AT1G05350,0,0,1,1,0,0,0
110,AT1G05370,0,0,1,1,0,0,1
111,AT1G05420,0,1,0,0,0,0,0
112,AT1G05450,0,0,1,1,1,1,1
113,AT1G05560,0,0,0,1,1,1,1
114,AT1G05575,1,1,1,1,1,1,1
115,AT1G05630,0,1,1,0,0,0,1
116,AT1G05640,0,0,0,0,0,1,1
117,AT1G05650,0,0,0,1,0,0,0
118,AT1G05670,0,0,1,1,1,1,1
119,AT1G05675,1,1,1,1,1,1,1
120,AT1G05680,1,0,0,1,1,1,0
121,AT1G05700,0,0,1,1,0,0,1
122,AT1G05710,0,0,0,1,0,0,1
123,AT1G05805,0,0,0,1,0,0,0
124,AT1G05880,0,1,0,1,0,1,1
125,AT1G05894,0,0,0,1,0,0,0
126,AT1G06020,0,0,0,0,0,0,1
127,AT1G06030,0,0,0,1,0,0,0
128,AT1G06050,0,0,0,1,1,0,1
129,AT1G06130,0,0,1,1,0,1,0
130,AT1G06135,1,1,1,1,1,1,1
131,AT1G06140,0,0,1,1,0,1,0
132,AT1G06148,0,0,1,1,1,0,1
133,AT1G06160,0,0,0,0,1,0,1
134,AT1G06515,0,0,0,1,0,0,0
135,AT1G06520,0,0,1,1,0,0,1
136,AT1G06540,0,0,0,0,0,0,1
137,AT1G06550,0,0,0,1,0,0,0
138,AT1G06570,0,0,0,1,1,0,1
139,AT1G06620,0,0,1,1,0,0,1
140,AT1G06760,0,0,0,1,0,0,0
141,AT1G06770,0,0,0,1,0,0,0
142,AT1G06800,0,0,1,1,1,0,1
143,AT1G06830,0,0,1,1,0,1,1
144,AT1G06840,0,1,1,1,0,0,1
145,AT1G06970,0,0,1,1,0,0,0
146,AT1G07000,1,1,1,1,1,1,1
147,AT1G07020,0,0,1,1,0,1,1
148,AT1G07030,0,0,0,1,0,0,0
149,AT1G07060,0,0,0,1,1,0,0
150,AT1G07128,0,0,1,1,1,1,1
151,AT1G07130,0,0,0,1,1,1,1
152,AT1G07135,1,1,1,1,1,1,1
153,AT1G07150,0,0,1,1,0,0,0
154,AT1G07160,1,1,1,1,1,1,1
155,AT1G07170,0,0,0,1,0,0,0
156,AT1G07175,0,0,0,1,0,1,0
157,AT1G07220,0,0,1,1,0,1,0
158,AT1G07230,0,0,0,1,0,0,0
159,AT1G07240,0,0,1,1,1,1,1
160,AT1G07310,0,0,0,1,0,0,0
161,AT1G07400,0,0,1,1,1,1,1
162,AT1G07430,0,0,0,1,0,0,0
163,AT1G07473,0,0,0,1,0,0,0
164,AT1G07500,0,0,0,1,1,1,1
165,AT1G07520,1,1,1,1,1,1,1
166,AT1G07570,0,0,1,1,0,0,0
167,AT1G07620,1,0,1,1,1,1,1
168,AT1G07630,0,0,1,1,1,1,1
169,AT1G07650,0,1,1,1,1,1,1
170,AT1G07660,0,0,1,1,0,0,0
171,AT1G07670,0,0,1,1,0,0,1
172,AT1G07885,0,0,1,1,1,1,1
173,AT1G07890,0,0,1,1,1,0,0
174,AT1G07900,0,1,1,1,1,1,1
175,AT1G07985,0,0,0,1,0,0,0
176,AT1G07990,0,0,0,1,0,0,0
177,AT1G08050,1,1,1,1,1,1,1
178,AT1G08250,0,0,1,1,1,1,1
179,AT1G08290,0,0,0,0,0,0,1
180,AT1G08310,0,0,0,1,0,0,0
181,AT1G08315,0,0,1,1,1,1,1
182,AT1G08320,0,0,0,1,0,0,0
183,AT1G08350,0,0,0,1,0,0,0
184,AT1G08450,1,1,1,1,1,1,1
185,AT1G08570,0,0,0,1,0,0,0
186,AT1G08630,1,0,1,1,1,1,1
187,AT1G08650,0,0,0,0,1,0,0
188,AT1G08670,0,0,0,1,0,0,0
189,AT1G08720,0,0,0,1,0,1,0
190,AT1G08800,0,0,0,1,0,0,0
191,AT1G08820,0,0,0,1,1,0,0
192,AT1G08830,0,0,1,1,1,1,1
193,AT1G08860,0,1,1,1,1,1,1
194,AT1G08900,0,0,0,1,1,0,0
195,AT1G08920,0,0,0,0,0,0,1
196,AT1G08930,1,1,1,1,1,1,1
197,AT1G08940,0,0,1,1,1,1,1
198,AT1G09060,0,0,1,1,0,1,1
199,AT1G09070,1,1,1,1,1,1,1
200,AT1G09080,1,0,1,1,1,1,1
201,AT1G09180,0,0,1,1,1,0,1
202,AT1G09195,0,0,1,1,0,0,0
203,AT1G09210,0,0,1,1,1,1,1
204,AT1G09330,0,0,0,1,0,0,0
205,AT1G09430,0,0,1,1,0,0,0
206,AT1G09460,0,0,0,1,0,0,0
207,AT1G09480,0,0,0,1,1,0,0
208,AT1G09483,0,0,0,0,0,0,1
209,AT1G09490,0,0,0,1,0,0,0
210,AT1G09500,0,0,0,1,0,1,0
211,AT1G09560,1,0,1,1,1,1,1
212,AT1G09575,0,0,1,1,1,1,1
213,AT1G09630,0,0,1,1,1,0,1
214,AT1G09645,0,0,1,1,0,0,0
215,AT1G09740,0,0,0,1,0,0,0
216,AT1G09794,0,0,0,1,0,0,1
217,AT1G09815,0,0,0,1,0,0,0
218,AT1G09930,0,1,1,1,1,1,1
219,AT1G09932,1,1,1,1,1,1,1
220,AT1G09940,1,1,1,1,1,1,1
221,AT1G09950,1,1,1,1,1,1,1
222,AT1G09970,1,1,1,1,1,1,1
223,AT1G10040,0,0,1,1,1,1,1
224,AT1G10050,0,1,1,1,1,1,1
225,AT1G10070,0,0,0,1,1,1,1
226,AT1G10140,0,0,1,1,1,1,1
227,AT1G10150,0,0,0,1,0,0,0
228,AT1G10170,0,0,0,1,0,0,0
229,AT1G10250,0,0,0,0,0,0,1
230,AT1G10280,0,0,0,1,0,0,0
231,AT1G10290,0,0,0,1,0,0,0
232,AT1G10340,1,1,1,1,1,1,1
233,AT1G10370,0,0,1,1,0,1,1
234,AT1G10410,0,0,1,1,1,1,1
235,AT1G10417,1,0,1,1,1,1,1
236,AT1G10480,0,0,0,0,0,0,1
237,AT1G10560,0,0,1,1,1,1,1
238,AT1G10580,0,0,0,1,1,0,1
239,AT1G10585,1,0,1,1,1,1,1
240,AT1G10586,0,0,0,1,0,0,0
241,AT1G10650,0,0,0,1,0,1,0
242,AT1G10690,0,0,0,1,0,0,1
243,AT1G10700,0,0,1,1,1,1,1
244,AT1G10720,0,0,0,1,0,0,0
245,AT1G10740,0,0,0,1,1,0,0
246,AT1G10800,0,0,0,0,0,1,0
247,AT1G10865,0,0,0,1,0,0,0
248,AT1G10900,0,0,1,1,0,0,0
249,AT1G10920,0,0,1,1,0,0,0
250,AT1G10990,0,0,0,1,1,0,1
251,AT1G11000,0,0,0,1,1,0,1
252,AT1G11050,1,1,1,1,1,1,1
253,AT1G11080,0,0,0,1,0,0,0
254,AT1G11100,0,0,1,1,1,1,1
255,AT1G11170,0,0,1,0,0,0,0
256,AT1G11185,0,0,1,1,0,1,1
257,AT1G11200,0,1,1,1,1,1,1
258,AT1G11210,0,0,0,0,0,1,0
259,AT1G11260,0,1,1,1,0,1,1
260,AT1G11300,0,1,1,1,1,0,1
261,AT1G11310,1,1,1,1,1,1,1
262,AT1G11330,0,0,0,0,0,0,1
263,AT1G11362,0,0,1,1,1,1,1
264,AT1G11370,0,0,0,1,0,0,0
265,AT1G11400,0,0,0,1,0,0,0
266,AT1G11530,0,0,0,1,0,0,0
267,AT1G11540,0,0,1,1,0,0,0
268,AT1G11670,0,0,0,0,0,1,1
269,AT1G11890,0,0,1,1,0,0,0
